DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES
2018-08-19,226,226000,226201,4,Dorito Corn Chp     Supreme 380g,200,650.0
2019-05-20,226,226000,226210,4,Dorito Corn Chp     Supreme 380g,200,650.0
